"Counter Party Account","Counter Party Account Name","MS Entity","MS Entity Name","As of Date","Agreement Currency","FXRate","Net MTM","Net IA","Net Collateral Balance PostHaircut","MarginRequirement","CallType","Counter Party Email Domain"
"058D194V1","NEW YORK LIFE INVESTMENTS ETF TRUST-NYLI FTSE INTERNATIONAL EQUITY CURRENCY NEUTRAL ETF C/O INDEXIQ ADVISORS LLC","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",-7203867.37277695,0.0,-8448296.054290738,1244428.6815137877,"NET","058D194V1_indexiq.com,bnymellon.com",
"058D194U3","INDEXIQ ETF TRUST-IQ 50 PERCENT HEDGED FTSE EUROPE ETF C/O INDEXIQ ADVISORS LLC","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",0.0,0.0,0.0,0.0,"NET","058D194U3_indexiq.com,bnymellon.com",
"06178F5N5","INDEXIQ ADVISORS LLC A/C INDEXIQ ETF TRUST-IQ HEDGE MARKET NEUTRAL TRACKER ETF","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",0.0,0.0,0.0,0.0,"NET","06178F5N5_indexiq.com,bnymellon.com",
"06178SPJ4","INDEXIQ ADVISORS LLC A/C INDEXIQ ETF TRUST-IQ GLOBAL RESOURCES ETF","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",0.0,0.0,-0.4399999992456287,0.4399999992456287,"NET","06178SPJ4_indexiq.com,bnymellon.com",
"061782U55","INDEXIQ ETF TRUST-IQ LEADERS GTAA TRACKER ETF","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",0.0,0.0,0.0,0.0,"NET","061782U55_indexiq.com,bnymellon.com",
"06178SPL9","INDEXIQ ADVISORS LLC A/C INDEXIQ ETF TRUST-IQ HEDGE MACRO TRACKER ETF","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",0.0,0.0,-0.3099999998871681,0.3099999998871681,"NET","06178SPL9_indexiq.com,bnymellon.com",
"06178SPM7","INDEXIQ ADVISORS LLC A/C NEW YORK LIFE INVESTMENTS ETF TRUST-NYLI HEDGE MULTI- STRATEGY TRACKER ETF","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",0.0,0.0,0.0,0.0,"IMP","06178SPM7_indexiq.com,bnymellon.com",
"06178SPM7","INDEXIQ ADVISORS LLC A/C NEW YORK LIFE INVESTMENTS ETF TRUST-NYLI HEDGE MULTI- STRATEGY TRACKER ETF","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",0.0,0.0,0.0,0.0,"IMR","06178SPM7_indexiq.com,bnymellon.com",
"06178SPM7","INDEXIQ ADVISORS LLC A/C NEW YORK LIFE INVESTMENTS ETF TRUST-NYLI HEDGE MULTI- STRATEGY TRACKER ETF","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",-403395.52,0.0,-696183.5589000001,292788.0389000001,"NET","06178SPM7_indexiq.com,bnymellon.com",
"06178WIZ7","INDEXIQ ADVISORS LLC A/C INDEXIQ ETF TRUST-IQ HEDGE LON","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",0.0,0.0,0.0,0.0,"NET","06178WIZ7_indexiq.com,bnymellon.com",
"06178WIY0","INDEXIQ ADVISORS LLC A/C INDEXIQ ETF TRUST-IQ HEDGE EVE","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",0.0,0.0,0.0,0.0,"NET","06178WIY0_indexiq.com,bnymellon.com",
"06178WP89","NYLI MERGER ARBITRAGE ETF","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",-1984499.77,0.0,-5321843.26,3337343.4899999998,"NET","06178WP89_indexiq.com,bnymellon.com",
"06178ZVV4","INDEXIQ ADVSRS LLC-MNSTY VP FND TRST-MNSTY VP IQ HDG MULTI-STRATEGY PORTFOLIO","0111","MORGAN STANLEY CAPITAL SERVICES LLC","08/07/2025","USD","1.0",-121934.4,0.0,-916380.01,794445.61,"NET","06178ZVV4_indexiq.com,statestreet.com,bnymellon.com",
